"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Health Management System for Forest Musk Deer Based on YOLOv5","M. Zhao; H. Wang; Y. Li; C. Zhang","School of Information, Beijing Forestry University, Beijing, China; School of Information, Beijing Forestry University, Beijing, China; School of Information, Beijing Forestry University, Beijing, China; School of Information, Beijing Forestry University, Beijing, China","2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)","28 Aug 2023","2023","","","20","24","Forest musk deer is a national key protected species, and its population resources are mainly in captivity. However, parasitic diseases have become a major challenge in the captive breeding of these musk deer and are one of the main causes of mortality in these musk deer. To address the difficulties associated with screening and diagnosis, a parasite egg recognition model based on YOLOv5 is proposed, which use the existing computer vision techniques to detect parasites. This model aims to achieve accurate recognition of parasite eggs in forest musk deer. Specifically, the data source-based network architecture is described. The experimental results show that the mean average accuracy of the model is 0.949 in the test set. To enable practical deployment of the model, a forest musk deer health management system based on the WeChat applet is presented. The system includes several key functions such as parasite egg identification, archive management of diseased forest musk deer, and breeding knowledge base. the potential effects of model and health management system on the conservation of forest musk deer resources were discussed, and their application prospects were emphasized. In summary, this work offers a novel and effective approach to the health management of captive forest musk deer, which is critical to ensuring their survival and protecting this important resource.","","979-8-3503-4586-5","10.1109/SNPD-Winter57765.2023.10223981","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10223981","forest musk deer;parasite detection;YOLOv5;WeChat applet","Social networking (online);Computational modeling;Parasitic diseases;Sociology;Knowledge based systems;Forestry;Network architecture","","","","15","IEEE","28 Aug 2023","","","IEEE","IEEE Conferences"
"A Novel Privacy-Preserving Neural Network Computing Approach for E-Health Information System","Y. Yao; Z. Zhao; X. Chang; J. Mišić; V. B. Mišić; J. Wang","Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, P. R. China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, P. R. China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, P. R. China; Ryerson University, Toronto, ON, Canada; Ryerson University, Toronto, ON, Canada; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, P. R. China",ICC 2021 - IEEE International Conference on Communications,"6 Aug 2021","2021","","","1","6","Electronic health (e-health) information system relies on cloud computing technologies to provide massive medical data computing and storage services. Especially, the recently proposed Machine Learning as a Service (MLaaS) on these medical data can not only effectively improve the healthcare service quality, but also support the end users with limited computing resources. However, MLaaS on the massive medical data faces the challenge of privacy. Homomorphic encryption technology has been explored to assure the privacy of medical data owners in MLaaS but with the weaknesses of limited homomorphic operations and low efficiency. To alleviate these weaknesses, this paper proposes a novel privacy-preserving non-collusion dualcloud (NCDC) model-based e-health information system using neural network (NN) computing. The system can not only assure medical data privacy through adopting homomorphic encryption technology but also assure NN model privacy by adding fake neurons to the NN. In addition, the proposed e-health information system also has the following advantages: (i) Simple key generation. (ii) No constraint on the size of medical data to be encrypted. (iii) The less loss of prediction accuracy between encrypted and original medical data. (iv) Supporting more homomorphic operations and having better computing efficiency through experiment verification.","1938-1883","978-1-7281-7122-7","10.1109/ICC42927.2021.9500795","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9500795","E-health;privacy-preserving;dual-cloud;neural network;homomorphic encryption","Data privacy;Protocols;Computational modeling;Neurons;Artificial neural networks;Predictive models;Data models","","4","","18","IEEE","6 Aug 2021","","","IEEE","IEEE Conferences"
"FHIR, BigchainDB, and GraphQL approach for interoperability between heterogeneous Health Information System","D. Kastowo; E. Utami; A. Hendi Muhammad","Magister of Informatics Engineering Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Magister of Informatics Engineering Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Magister of Informatics Engineering Universitas Amikom Yogyakarta, Yogyakarta, Indonesia",2022 5th International Conference on Information and Communications Technology (ICOIACT),"12 Dec 2022","2022","","","272","277","Interoperability is recognized as an essential factor for the success of a Health Information System. Common standards can achieve interoperability, deciphering the meaning of the data exchanged. The general criterion that can be used is FHIR (Fast Healthcare Interoperability Resources). Data exchange with this standard is considered adequate and efficient when using the GraphQL approach because the client efficiently manages the requests he wants according to the data schema that has been defined. In addition, the Health Information System is said to be successful if electronic medical record data is always available if you want to use it. Therefore a storage system is needed to maintain the data's existence. The blockchain-based storage method with BigchainDB can solve this problem. These three technologies (FHIR, BigchainDB and GraphQL) are expected to produce a service-based system that can be used to exchange international standard electronic medical record data and can be applied across various systems. As a result, on one server node, the time required to read data is 0.32 ms, and the time needed to insert data is 47 ms. On three server nodes, the time necessary to read data is 0.175 ms and the time required to insert data is 1430 ms. The data insert process is relatively long because of the mechanism for creating a signature key for each data stored and the distribution of data to all nodes (more than one node system) interconnected in BigchainDB storage.","2770-4661","978-1-6654-5140-6","10.1109/ICOIACT55506.2022.9972042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9972042","graphql;fhir;bigchaindb;interoperability;HIS","Medical services;Information and communication technology;Servers;Electronic medical records;Interoperability;Standards;Information systems","","2","","19","IEEE","12 Dec 2022","","","IEEE","IEEE Conferences"
"Empirical analysis of the residual information needed for image classification","R. Leygonie; G. Vimont","University of Paris, Paris, France; CNRS, Paris, France",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","2813","2817","We study the limits of classification models applied to an abstract representation of data.Previous research has dealt with the classification of images generated from data, which are abstract pictures that greatly differ from standard real-world images. This approach might be robust to the curse of dimensionality and we wish to apply it to multi-dimensional data. Current image classification methods have been proven to be effective when applied to real-world images. We want to know how these same methods perform on abstract images, i.e. if they can work and if so, what are the necessary characteristics that the images must have for an optimized and efficient learning?We propose different empirical experiments in order to define the residual information rate required for image classification. This implies knowing the amount of information required for a classification model to perform well on abstract images.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671871","curse of dimensionality;computer vision;image classification;time complexity;health data","Analytical models;Social networking (online);Conferences;Blogs;Big Data;Data models;Standards","","","","16","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Integrating Natural Language Processing and Large Language Models Into DHIS2 to Improve Health Data Utilization","A. Nabasirye; I. W. Ssali","Department Services, Uganda National Health Labaratory, Ministry of Health, Kampala, Uganda; Master of Health Informatics, School of Public Health, Makerere University, Kampala, Uganda",2025 IEEE/ACM Symposium on Software Engineering in the Global South (SEiGS),"11 Jun 2025","2025","","","47","52","In the evolving landscape of global healthcare, the need for efficient and scalable data analysis has never been more critical. This research explores the integration of Large Language Models (LLMs) and Natural Language Processing (NLP) into the District Health Information System 2 (DHIS2), a platform widely used for health data management in Uganda. The objective of this study is to enhance the usability and data analysis capabilities of DHIS2, making it accessible to both technical and non-technical users. By leveraging AI-driven models like LangChain and Ollama, the research developed an automated data analysis system that allows users to interact with DHIS2 using natural language queries in English. This integration simplifies the extraction of meaningful insights from complex datasets, thereby improving decision-making processes. The system was evaluated for usability, performance, and its potential to enhance public health data analysis. Results demonstrate that the AI-augmented DHIS2 platform significantly reduces analysis time, improves data accessibility, and facilitates timely public health interventions. This innovation presents a scalable solution for improving health information systems globally, particularly in resource-constrained environments.","","979-8-3315-1428-0","10.1109/SEiGS66664.2025.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11026901","Artificial Intelligence;Large Language Models;DHIS2;Data Analysis;Healthcare Informatics;NLP;Uganda","Technological innovation;Data analysis;Large language models;Decision making;Natural language processing;Data models;Usability;Public healthcare;Informatics;Software engineering","","","","11","IEEE","11 Jun 2025","","","IEEE","IEEE Conferences"
"Design of Campus Health Information System using Face Recognition and Body Temperature Detection","H. Wu; Y. Pan; X. Weng; H. Chen","Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan; Department of Information and Electronics System Engineering, Daiichi Institute of Technology, Tokyo, Japan","2021 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","15 Mar 2022","2021","","","873","878","Currently under the epidemic crisis of COVID-19, campus epidemic prevention has become a hot topic, and temperature detecting equipment has become a necessity in public spaces. However, temperature detection systems that are widely sold on the market are relatively simple and cannot recognize personal identity. Besides, they cannot record individual temperature changes, and they are still inadequate in terms of managing personal health information. In this study, we proposed a system that can meet the needs of campus epidemic prevention called CHIS (Campus Health Information System). In CHIS, an infrared sensor is used for temperature detection and combined with face recognition. The body temperature is recorded while face recognition is performed, and the face ID and the collected real-time body temperature are transmitted to the cloud for viewing and managing by the school. The data will be managed centrally in the cloud and will be cleaned during daily processing. In the end, the student's health data history will be stored only in their personal Pod (Personal online datastore), a decentralized personal cloud data model that prevents the risk of large-scale data leakage due to centralized management. The combination of body temperature detection and face recognition avoids substituting the presence of a real person with photos or pictures, which further enhances security. It also reduces the risk of infection prompted by human detection, which increases safety.","","978-1-6654-2174-4","10.1109/DASC-PICom-CBDCom-CyberSciTech52372.2021.00145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730523","Face Recognition;Body Temperature Detection;Raspberry Pi;Data Transmission;Cloud Database;Internet of Things","Temperature sensors;Temperature measurement;Cloud computing;Temperature distribution;Face recognition;Clouds;Real-time systems","","6","","9","IEEE","15 Mar 2022","","","IEEE","IEEE Conferences"
"Blockchains’ federation: Developing Personal Health Trajectory-centered health systems","J. Rojo; J. García-Alonso; J. Berrocal; L. Foschini; P. Bellavista; J. Hernández; J. M. Murillo","University of Extremadura, Caceres, Spain; University of Extremadura, Caceres, Spain; University of Extremadura, Caceres, Spain; University of Bologna, Bologna, Italy; University of Bologna, Bologna, Italy; University of Extremadura, Caceres, Spain; Computing and Advanced Technologies Foundation of Extremadura, Caceres, Spain","2023 IEEE/ACM 23rd International Symposium on Cluster, Cloud and Internet Computing Workshops (CCGridW)","19 Jul 2023","2023","","","81","88","The current world is a globalized and connected one. Even without moving around, a person interacts with personnel from different institutions treating him as a patient in their daily life. Each of these institutions keeps their patients’ data stored in their own information system, in an isolated way. Due to this, each patient has their data scattered among all these institutions and services with which she interacts along her life. This can complicate the take of the proper decision when the patient is under treatment. To solve this situation, new patient-centered health systems have been proposed as a replacement to the actual institution-centered ones, storing all health information of a patient into a unique global vision. However, some questions have arisen around the actual proposals, as who should store and maintain this vision of a given patient, and how should this information be made available for other systems. The proposal presented in this paper advocate for the achievement of a Personal Health Trajectory that can be useful both for patients and health professionals, using the concept of blockchains’ federation. The proposal has been validated using 5689 records from 50 different institutions, belonging to 1156 actors.","","979-8-3503-0208-0","10.1109/CCGridW59191.2023.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10181155","Data integration;Data interoperability;health data;Blockchain;Web Services","Cloud computing;Conferences;Trajectory;Proposals;Personnel;Information systems","","","","26","IEEE","19 Jul 2023","","","IEEE","IEEE Conferences"
"Mentor's Musings on the Role of Disruptive Technologies and Innovation in Making Healthcare Systems More Sustainable","N. K. Narang","Technology Philanthropist, Innovation & Standardization Evangelist, USA",IEEE Internet of Things Magazine,"27 Sep 2021","2021","4","3","80","89","IoT Standards Matters will look at different segments of the IoT market as it relates to implementation and use of standards. Each column will select a particular vertical, and lay out the relevant standards and technologies that affect the evolving IoT hyperspace. The pace of the columns will start broadly with the vision of narrowing the subject of subsequent articles toward more specific applications of standards, whether in the development, application, test, or commissioning of IoT technologies.","2576-3199","","10.1109/MIOT.2021.9548847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9548847","","Technological innovation;Medical services;Internet of Things;Disruptive technologies;Standards","","3","","0","IEEE","27 Sep 2021","","","IEEE","IEEE Magazines"
"Design Gaps in Configurable Systems: Adaptability of DHIS2 to other Domains","I. S. Mwakabira; L. F. Byson; T. D. Manda; Y. D. Phiri; A. Simwela","Department of Computing, University of Malawi, Zomba, Malawi; Department of Computing, University of Malawi, Zomba, Malawi; Department of Computing, University of Malawi, Zomba, Malawi; Department of Computing, University of Malawi, Zomba, Malawi; Department of Computing, University of Malawi, Zomba, Malawi",2023 IST-Africa Conference (IST-Africa),"25 Jul 2023","2023","","","1","8","Highly specialised domains demand highly granularised and variability of configuration elements to support multiple domain configurations at that level. Configurable systems that have limited configurational elements are bound by their elements to be adaptable to a select few domains and contexts. In this study, we propose design changes and enhancements to the DHIS2 configuration layer and resulting data collection tools to support its adaptability in multiple domains. We suggest that the process of adaptation should not involve transference of initial domain specific UI properties to other domains. Continued evolution of the platform at the feature level is required to make it more adaptable to other domains. Provision of a variety of configuration elements enables implementation level designers to explore, provide and meet a set of usability design configuration needs and goals in respective use cases.","2576-8581","978-1-905824-71-7","10.23919/IST-Africa60249.2023.10187872","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10187872","DHIS2;Configurable Systems;Usability;Variability;Adaptability.","User interfaces;Data collection;Usability","","","","21","","25 Jul 2023","","","IEEE","IEEE Conferences"
"Medical Cyber–Physical Systems: A Solution to Smart Health and the State of the Art","F. Chen; Y. Tang; C. Wang; J. Huang; C. Huang; D. Xie; T. Wang; C. Zhao","Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China; Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China; Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China; Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China; Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China; Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China; Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China; Anhui Provincial Key Laboratory of Network and Information Security, Anhui Normal University, Wuhu, Anhui, China",IEEE Transactions on Computational Social Systems,"30 Sep 2022","2022","9","5","1359","1386","A medical cyber–physical system (MCPS) is a unique cyber–physical system (CPS), which combines embedded software control devices, networking capabilities, and complex physiological dynamics of patients in the modern medical field. In the process of communication, device, and information system interaction of MCPS, medical cyber–physical data are generated digitally, stored electronically, and accessed remotely by medical staff or patients. With the advent of the era of medical big data, a large amount of medical cyber–physical data is collected, and its sharing provides great value for diagnosis, pathological analysis, epidemic tracking, pharmaceutical, insurance, and so on. This overview will present MCPS’s architectures and frameworks from different perspectives, modeling and verification methods, identification and sign sensing technologies, key communications’ technologies, data storage and analysis technologies, monitoring systems, data security and privacy protection technologies, and key research perspectives and directions. We can have a comprehensive understanding of the important characteristics and technical route of MCPS, and grasp its research status and progress.","2329-924X","","10.1109/TCSS.2021.3122807","National Natural Science Foundation of China(grant numbers:61972438); Key Research and Development Projects in Anhui Province(grant numbers:202004a05020002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9601185","Architecture;medical cyber–physical systems (MCPSs);monitoring system;smart health","Computer architecture;Medical diagnostic imaging;Aerospace electronics;Cloud computing;Monitoring;Blockchains;Security","","50","","167","CCBY","4 Nov 2021","","","IEEE","IEEE Journals"
