"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Marcelo A.B.; Pascual K.C.; Udayasankaran J.G.; Allaudin F.S.; Kijsanayotin B.","Marcelo, Alvin B. (23497830600); Pascual, Kristin Chloe (57714996600); Udayasankaran, Jai Ganesh (57205028068); Allaudin, Fazilah Shaik (57716284400); Kijsanayotin, Boonchai (22034695800)","23497830600; 57714996600; 57205028068; 57716284400; 22034695800","A framework for regional health information systems interoperability: The Asia eHealth Information Network (AeHIN) experience","2022","Roadmap to Successful Digital Health Ecosystems: A Global Perspective","","","","399","414","15","5","10.1016/B978-0-12-823413-6.00005-7","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85130940168&doi=10.1016%2fB978-0-12-823413-6.00005-7&partnerID=40&md5=97a8460c1ddf5f90bd397cb91e74400c","In 2005, the World Health Organization defined eHealth as ‘the use of information and communications technologies for health’. Since then, countries have moved rapidly to digitise their health information systems. Soon, however, most governments who adopted digitisation began encountering challenges with interoperability hampering timely and accurate decision-making. The Asia eHealth Information Network was created by WHO in 2011 to form a group of peers collaborating to solve this interoperability problem. After 9 years of continuous knowledge exchange and resource sharing, AeHIN has arrived at a framework to guide countries in developing their national eHealth programme. This framework is the ‘Mind the GAPS’ approach. GAPS is an acronym representing the foundational importance of multisectoral governance (G) in setting the strategy and directions for eHealth development in the country. This governance structure then broadly promotes a shared enterprise architecture (A) with stakeholders who in turn adopt good programme management (P) practices to build their part of the blueprint. By implementing the standards (S) in the blueprint, stakeholders contribute to interoperability within a country and corollary, to the region. © 2022 Elsevier Inc. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-85130940168"
"López-Úbeda P.; Díaz-Galiano M.C.; Ureña-López L.A.; Martín-Valdivia M.T.","López-Úbeda, Pilar (57203265599); Díaz-Galiano, Manuel Carlos (8907780500); Ureña-López, L. Alfonso (8865743500); Martín-Valdivia, M. Teresa (35088446700)","57203265599; 8907780500; 8865743500; 35088446700","Pre-trained language models to extract information from radiological reports","2021","CEUR Workshop Proceedings","2936","","","794","803","9","3","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85113423208&partnerID=40&md5=f5f028b356c9f50b071018637a17c811","This paper describes the participation of the SINAI team in the SpRadIE challenge: Information Extraction from Spanish radiology reports which consists of identifying biomedical entities related to the radiological domain. There have been many tasks focused on extracting relevant information from clinical texts, however, no previous task has been centered on radiology using Spanish as the main language. Detecting relevant information automatically in biomedical texts is a crucial task because current health information systems are not prepared to analyze and extract this knowledge due to the time and cost involved in processing it manually. To accomplish this task, we propose two approaches based on pre-trained models using the BERT architecture. Specifically, we use a multi-class classification model, a binary classification model and a pipeline model for entity identification. The results are encouraging since we improved the average of the participants by obtaining a 73.7% F1-score using the binary system. © 2021 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","Conference paper","Final","","Scopus","2-s2.0-85113423208"
"Perbix M.; Löbe M.; Stäubert S.; Anil Sinaci A.; Gencturk M.; Quintero M.; Martinez-Garcia A.; Alvarez-Romero C.; Parra-Calderon C.L.; Winter A.","Perbix, Mona (57776684100); Löbe, Matthias (55938448500); Stäubert, Sebastian (36648060200); Anil Sinaci, A. (57793270500); Gencturk, Mert (53063547700); Quintero, Miriam (57776231400); Martinez-Garcia, Alicia (55937333600); Alvarez-Romero, Celia (57210788267); Parra-Calderon, Carlos L. (24332533000); Winter, Alfred (7202642905)","57776684100; 55938448500; 36648060200; 57793270500; 53063547700; 57776231400; 55937333600; 57210788267; 24332533000; 7202642905","A Formal Model for the FAIR4Health Information Architecture","2022","Studies in Health Technology and Informatics","295","","","446","449","3","0","10.3233/SHTI220761","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85133254854&doi=10.3233%2fSHTI220761&partnerID=40&md5=32f8d8bff6e08801e8150d38f4e080e0","In the EU project FAIR4Health, a ETL pipeline for the FAIRification of structured health data as well as an agent-based, distributed query platform for the analysis of research hypotheses and the training of machine learning models were developed. The system has been successfully tested in two clinical use cases with patient data from five university hospitals. Currently, the solution is also being considered for use in other hospitals. However, configuring the system and deploying it in the local IT architecture is non-trivial and meets with understandable concerns about security. This paper presents a model for describing the information architecture based on a formal approach, the 3LGM metamodel. The model was evaluated by the developers. As a result, the clear separation of tasks and the software components that implement them as well as the rich description of interactions via interfaces were positively emphasized. © 2022 The authors and IOS Press.","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85133254854"
"Şık A.S.; Aydınoğlu A.U.; Aydın Son Y.","Şık, Ayhan Serkan (57221589866); Aydınoğlu, Arsev Umur (36701092900); Aydın Son, Yeşim (14040249400)","57221589866; 36701092900; 14040249400","Assessing the readiness of Turkish health information systems for integrating genetic/genomic patient data: System architecture and available terminologies, legislative, and protection of personal data","2021","Health Policy","125","2","","203","212","9","6","10.1016/j.healthpol.2020.12.004","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85099515566&doi=10.1016%2fj.healthpol.2020.12.004&partnerID=40&md5=65c9a1fe4964cf512012e61b15b5b97b","Advances in genetic/genomic research and translational studies drive the progress on molecular diagnosis, personalised treatment, and monitoring. Healthcare professionals and governments are encouraged to set administrative regulations and implement structured and interoperable representation to utilise the genetic/genomic data, which will support precision medicine approaches through Health Information Systems (HIS). Clear regulations and careful legislation are also crucial for the security and privacy of genetic/genomic test data. In this article, we present a review of the National Health Information System of Turkey (NHIS-T) about interoperable health data representation for genetic tests. We discuss the content of rules and regulations related to genetic/genomic testing and structured data representation in Turkey. A brief comparison of the Turkish “Law on the Protection of Personal Data” (LPPD) in genetic/genomic data privacy with its counterparts is presented. The final discussion about the shortcomings of Turkey is transferable to health information systems worldwide. Constructing a national reference database and IT infrastructure to enable data integration and exchange between genomic data, metadata, and health records will improve genetics studies’ utility and outcomes. The critical success factors behind integration are establishing broadly accepted terminologies and government guidance. The governments should set clear a transparent policy defining the legal and ethical framework, workforce training, clinical decision-support tools, public engagement, and education concurrently. © 2020 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85099515566"
"Sharma S.; Jain S.","Sharma, Sumit (57217835075); Jain, Sarika (57203018058)","57217835075; 57203018058","OntoXAI: a semantic web rule language approach for explainable artificial intelligence","2024","Cluster Computing","27","10","","14951","14975","24","2","10.1007/s10586-024-04682-2","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85200653019&doi=10.1007%2fs10586-024-04682-2&partnerID=40&md5=dd6f956127fa8ecccd748895ed323f57","Machine learning revolutionizes accuracy in diverse fields such as disease diagnosis, speech understanding, and sentiment analysis. However, its intricate architecture often obscures the decision-making process, creating a “black box” that hinders trust and limits its potential. This lack of transparency poses significant challenges, particularly in critical fields like the healthcare system. We present OntoXAI, a Semantic Web Rule Language (SWRL) based Explainable Artificial Intelligence (XAI) approach to address these challenges. OntoXAI leverages semantic technology and machine learning (ML) to enhance prediction accuracy and generate user-comprehensible natural language explanations in the context of dengue disease classification. OntoXAI can be summarized into three key aspects. (1) Creates a knowledge base that incorporates domain-specific knowledge related to the disease. This allows for the integration of expert knowledge into the classification process. (2) OntoXAI presents a diagnostic classification system that utilizes patient symptoms as input to classify the disease accurately. By leveraging ML algorithms, it achieves high accuracy in disease classification. (3) OntoXAI introduces SWRL and ontology to integrate explainable AI techniques with Open AI API, enabling a better understanding of the classification process. By combining the power of machine learning algorithms with the ability to provide transparent, human-understandable explanations through Open AI API, this approach offers several advantages in enhancing prediction accuracy, achieving levels of up to 96%. Overall, OntoXAI represents a significant advancement in the field of explainable AI, addressing the challenges of transparency and trust in machine learning systems, particularly in critical domains like healthcare. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Article","Final","","Scopus","2-s2.0-85200653019"
"Hasselgren A.; Rensaa J.-A.H.; Kralevska K.; Gligoroski D.; Faxvaag A.","Hasselgren, Anton (57195804177); Rensaa, Jens-Andreas Hanssen (57218953712); Kralevska, Katina (55321893400); Gligoroski, Danilo (19933418700); Faxvaag, Arild (6603654796)","57195804177; 57218953712; 55321893400; 19933418700; 6603654796","Blockchain for increased trust in virtual health care: Proof-of-concept study","2021","Journal of Medical Internet Research","23","7","e28496","","","","46","10.2196/28496","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85111701393&doi=10.2196%2f28496&partnerID=40&md5=d7445b8b9366e1807ebc543c31006a4f","Background: Health care systems are currently undergoing a digital transformation that has been primarily triggered by emerging technologies, such as artificial intelligence, the Internet of Things, 5G, blockchain, and the digital representation of patients using (mobile) sensor devices. One of the results of this transformation is the gradual virtualization of care. Irrespective of the care environment, trust between caregivers and patients is essential for achieving favorable health outcomes. Given the many breaches of information security and patient safety, today's health information system portfolios do not suffice as infrastructure for establishing and maintaining trust in virtual care environments. Objective: This study aims to establish a theoretical foundation for a complex health care system intervention that aims to exploit a cryptographically secured infrastructure for establishing and maintaining trust in virtualized care environments and, based on this theoretical foundation, present a proof of concept that fulfills the necessary requirements. Methods: This work applies the following framework for the design and evaluation of complex intervention research within health care: a review of the literature and expert consultation for technology forecasting. A proof of concept was developed by following the principles of design science and requirements engineering. Results: This study determined and defined the crucial functional and nonfunctional requirements and principles for enhancing trust between caregivers and patients within a virtualized health care environment. The cornerstone of our architecture is an approach that uses blockchain technology. The proposed decentralized system offers an innovative governance structure for a novel trust model. The presented theoretical design principles are supported by a concrete implementation of an Ethereum-based platform called VerifyMed. Conclusions: A service for enhancing trust in a virtualized health care environment that is built on a public blockchain has a high fit for purpose in Healthcare 4.0. © Anton Hasselgren, Jens-Andreas Hanssen Rensaa, Katina Kralevska, Danilo Gligoroski, Arild Faxvaag. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 30.07.2021. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on https://www.jmir.org/, as well as this copyright and license information must be included.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85111701393"
"Winter A.; Jahn F.; Löbe M.; Stäubert S.","Winter, Alfred (7202642905); Jahn, Franziska (54393328600); Löbe, Matthias (55938448500); Stäubert, Sebastian (36648060200)","7202642905; 54393328600; 55938448500; 36648060200","The European Health Data Space as 3LGM2-Based Enterprise Architecture Model","2025","Studies in health technology and informatics","327","","","647","651","4","0","10.3233/SHTI250428","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-105005817078&doi=10.3233%2fSHTI250428&partnerID=40&md5=7aa8461d880766e1abd2125780f07b7e","The European Health Data Space (EHDS) Regulation assigns rights and obligations to the stakeholders of health information logistics across Europe. This implies specific requirements for the architecture of a European health information system. Since enterprise architecture models (EAM) effectively support the development of such information systems, we present an EAM based on the three-layer graph-based metamodel (3LGMš). The EHDS 3LGMš model describes the tasks of the stakeholders, the data to be processed and the necessary application systems and services for primary and secondary use of data. The model is freely available together with the 3LGMš tool.","Article","Final","","Scopus","2-s2.0-105005817078"
"Mishra A.; Sahay S.","Mishra, Amit (57214672432); Sahay, Sundeep (7005926376)","57214672432; 7005926376","Strengthening Health Information Infrastructures in Developing Countries Master Facility List for Health in India","2023","Economic and Political Weekly","58","1","","57","64","7","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85146506449&partnerID=40&md5=e94490743d1333b831fe333fa4da9f95","With the rapid proliferation of health information systems in low- and middle-income countries, there are ongoing efforts to incorporate architectural approaches to ensure interoperability and reduce fragmentation. A key component of this approach is a master facility list representing a standard list of health facilities. However, building and deploying MFL is a formidable challenge given the various socio-technical complexities. The theory of information infrastructures, which deal with large-scale, complex and distributed systems, provides guidance on how to approach such complexities. This paper suggests that Indian MFL has failed to create the heterogeneous socio-technical network around it, and been unsuccessful in creating value for initial group of users and subsequently building growth momentum. Also, it failed in making itself adaptable to different applications and use contexts. Three sets of recommendation for its improvement include enabling governance structure, adopting flexible design architecture and making active efforts to promote MFL use. © 2023 Economic and Political Weekly. All rights reserved.","Article","Final","","Scopus","2-s2.0-85146506449"
"Tsegaye T.; Flowerday S.","Tsegaye, Tamir (57190793315); Flowerday, Stephen (9434584800)","57190793315; 9434584800","A System Architecture For Ensuring Interoperability In A South African National Electronic Health Record System","2021","South African Computer Journal","33","1","","79","110","31","5","10.18489/sacj.v33i1.838","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85111308087&doi=10.18489%2fsacj.v33i1.838&partnerID=40&md5=8bb82439d12eaa6062968c66f6613313","Countries such as South Africa have attempted to leverage eHealth by digitising patients’ medical records with the aim of improving the delivery of healthcare. This involves the use of an electronic health record (EHR) which is a longitudinal electronic record of a patient’s information. The EHR includes all the patient’s encounters that have been made with different health facilities. In the national context, the EHR is also known as a national EHR, which enables the sharing of patient information between points of care. However, a lack of interoperability exists between many South African health information systems making communication between these disparate systems impossible. As a result, the sharing of patient information is inhibited and the benefit of improving healthcare delivery cannot be realised. This paper proposes a system architecture for addressing interoperability challenges and indicates how interoperability can be ensured in a national EHR system. The proposed system architecture is differentiated from other national EHR system architectures found in the literature in order to emphasise its novelty. Secondary data obtained from a systematic literature review was analysed using content analysis, resulting in 9482 tags which informed the development of the proposed system architecture. Copyright © the author(s); published under a Creative Commons NonCommercial 4.0 License (CC BY-NC 4.0). SACJ is a publication of the South African Institute of Computer Scientists and Information Technologists. ISSN 1015-7999 (print) ISSN 2313-7835 (online).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85111308087"
"","","","13th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2020","2021","Communications in Computer and Information Science","1400 CCIS","","","","","610","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85107301519&partnerID=40&md5=97504cdc507aa56e1c4ccd4c28b1cb95","The proceedings contain 29 papers. The special focus in this conference is on Biomedical Engineering Systems and Technologies. The topics include: Classification of Biochemical Pathway Robustness with Neural Networks for Graphs; The Extended i-NSS: An Intelligent EEG Tool for Diagnosing and Managing Epilepsy; Idle State Detection with an Autoregressive Multiple Model Probabilistic Framework in SSVEP-Based Brain-Computer Interfaces; exploring Inertial Sensor Fusion Methods for Direct Ergonomic Assessments; PDC-MI Method for EEG Functional Conectivity Analysis; comparison of Medical Image Evaluations in Magnetic Resonance Cholangiopancreatography Through Image J; evaluating a Comparing Deep Learning Architectures for Blood Glucose Prediction; cognitive Internet of Medical Things Architecture for Decision Support Tool to Detect Early Sepsis Using Deep Learning; interoperability Evaluation in Building Automation and Health Smart Homes Using Tag-Based Semantic Frameworks; novel Compact Robotic Flow Control Valve for Bioinspired Exosuit and Other Applications; pathobox: The Collaborative Tele-pathology Platform with Access Management; Combining Rhythmic and Morphological ECG Features for Automatic Detection of Atrial Fibrillation: Local and Global Prediction Models; privacy by Design for Neuropsychological Studies Based on an mHealth App; food Data Normalization Using Lexical and Semantic Similarities Heuristics; muscle Deformation Using Position Based Dynamics; an Assessment of National Health Information Systems in Ireland Using Nationally Agreed Standards; leveraging Clinical Notes for Enhancing Decision-Making Systems with Relevant Patient Information; mobile Marketing in Health: User Experience Guiding the Implementation of a Medical Booking Application; stochastic Workflow Modeling in a Surgical Ward: Towards Simulating and Predicting Patient Flow; classification of Eating Behaviors in Unconstrained Environments.","Conference review","Final","","Scopus","2-s2.0-85107301519"
"Jiang M.; Nakamoto I.; Zhuang W.; Zhang W.; Guo Y.; Ma L.","Jiang, Ming (57220168886); Nakamoto, Ichiro (57218866388); Zhuang, Weiqing (48862004600); Zhang, Weiguo (57204978573); Guo, Yin (57221801465); Ma, Liting (57221803797)","57220168886; 57218866388; 48862004600; 57204978573; 57221801465; 57221803797","Flexible Investment Strategies for Cloud-Native Architecture of Public Health Information Systems","2021","Wireless Communications and Mobile Computing","2021","","6676428","","","","1","10.1155/2021/6676428","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85100257788&doi=10.1155%2f2021%2f6676428&partnerID=40&md5=0afb490f2cfa8d6919d27e68b4a66524","The randomness of public health events requires that the cloud-native architecture, as the mainstream architecture of the new generation of the public health information system, has the appropriate flexibility to meet the needs of environmental change. The flexible acquisition of cloud-native architecture requires organizations to invest additional resources. How to plan and formulate resource input is a topic of common concern for public health management and information systems. According to the commercial characteristics of the public health system based on cloud-native architecture, this paper systematically analyzes the external major impact factors and auxiliary factors that affect the flexible cost investment strategy of cloud providers and combines flexible investment strategies to build a cloud-native cost investment model. Finally, case data in practice is applied into the model, and cost planning is discussed according to different situations. The findings indicate that (1) the more cloud providers adopt the changed flexible strategy, the more conducive it is to reduce costs; (2) the larger the application load, the more cloud providers need to use flexible strategies to lower costs; (3) the less the impact of changing the flexible strategy on costs, the more conducive cloud providers use the flexible strategy to decrease costs; (4) the more uneven the distribution of diversity, the higher proportion of investment increases than the proportion of investment, and the more cloud providers consider the investment using flexible strategy. The results of the discussion provide a reference for public health organizations to use flexible strategies and change flexible strategies in a timely manner and expand the research scope of information system cost investment. © 2021 Ming Jiang et al.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85100257788"
"Vazirian S.; Ho T.; Weideman R.A.; Salinas M.R.; Hurd P.W.; Stuve O.","Vazirian, Samra (58220567300); Ho, Travis (57330441200); Weideman, Rick A. (6603343590); Salinas, Meagen R. (57215579699); Hurd, Paul W. (57215410977); Stuve, Olaf (6602904868)","58220567300; 57330441200; 6603343590; 57215579699; 57215410977; 6602904868","Utilization of a neurology specialty service by primary care providers for headache management at a tertiary care hospital","2022","Journal of Central Nervous System Disease","14","","","","","","1","10.1177/11795735221113102","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85156102855&doi=10.1177%2f11795735221113102&partnerID=40&md5=43a97cbf5e174008a2fd5673d04e75af","Background: Recent data indicate that the three-month prevalence of severe headaches or migraines in the US general population is close to 25%. Participation of primary care providers will therefore be critical in providing care to affected individuals. Objective: To determine the number of headache disorder consult requests to a neurology outpatient service in a tertiary medical center, the appropriateness of the consult requests, and the effectiveness of a lecture series on headache diagnosis and management in preventing inappropriate consult requests from non-neurology providers. Methods: Clinical data on US Veterans is captured and documented in the Veterans Health Information Systems and Technology Architecture (VISTA). The Computerized Patient Record System (CPRS) electronic medical record (EMR) was used for data entry and retrieval. All consult requests for the study period within the VA North Texas Health Care System were identified in VISTA, and the clinical information reviewed in CPRS. Based on a defined algorithm, headache consult request were categorized as appropriate or inappropriate. A board-certified neurologist provided four in-person/virtual lectures to ambulatory care providers, primary care providers, internal medicine residents, and emergency room providers within the VA North Texas Health Care System on the diagnosis and management of headaches. Prior and post the lecture series, the total number of headache consults per day was assessed over 45-day periods. Results: The number of daily headache consult requests in the 45-day period prior to the lecture series was 3.6 per day (standard deviation 2.7), and 6.0 per day after the lecture series (standard deviation 2.1). The difference was not statistically significant. There were as many inappropriate headache consult requests after the lecture series as appropriate ones (50% each). Conclusion: We found that a short-term educational initiative that instructed primary care providers on the diagnosis and management of common headache disorders did not reduce the number of consultation requests and, surprisingly, it did not improve the appropriateness of the consults. Given the prevalence of headaches in the general population, better training of all primary care providers in headache management should be pursued. © The Author(s) 2022.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85156102855"
"Fragidis L.; Tsamoglou S.; Kosmidis K.; Aggelidis V.","Fragidis, Leonidas (53879753100); Tsamoglou, Sofia (59406747100); Kosmidis, Kosmas (56845424100); Aggelidis, Vassilios (24480833400)","53879753100; 59406747100; 56845424100; 24480833400","Architectural design of national evidence based medicine information system based on electronic health record","2024","Technology and Health Care","32","6","","4187","4201","14","0","10.3233/THC-232042","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85208772039&doi=10.3233%2fTHC-232042&partnerID=40&md5=492e1ea7651ce6186ee9a6f0d07e7ab0","BACKGROUND: The global implementation of Electronic Health Records has significantly enhanced the quality of medical care and the overall delivery of public health services. The incorporation of Evidence-Based Medicine offers numerous benefits and enhances the efficacy of decision-making in areas such as prevention, prognosis, diagnosis, and therapeutic approaches. OBJECTIVE: The objective of this paper is to propose an architectural design of an Evidence-Based Medicine information system based on the Electronic Health Record, taking into account the existing and future level of interoperability of health information systems in Greece. METHODS: A study of the suggested evidence-based medicine architectures found in the existing literature was conducted. Moreover, the interoperability architecture of health information systems in Greece was analyzed. The architecture design reviewed by specialized personnel and their recommendations were incorporated into the final design of the proposed architecture. RESULTS: The proposed integrated architecture of an Evidence-Based Medicine system based on the Electronic Health Record integrates and utilizes citizens' health data while leveraging the existing knowledge available in the literature. CONCLUSIONS: Taking into consideration the recently established National Interoperability Framework, which aligns with the European Interoperability Framework, the proposed realistic architectural approach contributes to improving the quality of healthcare provided through the ability to make safe, timely and accurate decisions by physicians. © 2024 - IOS Press. All rights reserved.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85208772039"
"Khorrami F.; Ahmadi M.; Karami N.A.; Alipour J.; Sheikhtaheri A.","Khorrami, Farid (57202756655); Ahmadi, Maryam (35387438600); Karami, Nader Alishan (37071927600); Alipour, Jahanpour (56466068300); Sheikhtaheri, Abbas (28568128800)","57202756655; 35387438600; 37071927600; 56466068300; 28568128800","A framework for selection of health terminology systems: A prerequisite for interoperability of health information systems","2022","Informatics in Medicine Unlocked","31","","100949","","","","0","10.1016/j.imu.2022.100949","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85130565703&doi=10.1016%2fj.imu.2022.100949&partnerID=40&md5=09d2a354bd8cabba900ef837b1be8977","Health terminology systems (HTS) serve as the backbone for the interoperability of health information systems (HIS). Selecting appropriate terminologies is a universal concern for HTS stakeholders. The purpose of this study is to develop a framework for HTS selection. To do this, the study was designed in two stages: I) Developing an initial framework by running a systematic literature review (reviewing 100 articles selected based on the criteria from 10886 articles retrieved from PubMed, Scopus, Web of Science, and EMBASE), and II) Validation of the initial framework by the use of a modified Delphi Method (2 rounds). The proposed framework comprised four dimensions: terminology main group (TMG), important related terminologies (IRTs), message exchange standards (MES), and architecture of terminology standards (ATS). TMG includes “the committee for terminology selection”, “determination of the scope coverage”, and “requirement evaluation”. IRTs used during the creation and maintenance of terminologies for mapping purposes are classified into two groups: 1) administrative, financial and legal terminologies, and 2) clinical terminologies. The steps for applying MES for TMG include 1) need assessment for MES based on the objectives and scope of TMG, 2) reviewing MES at the national and international level, 3) choosing/developing the MES standard(s). Finally, the proposed ATS includes TMG, IRTs, health information systems, and standard-based programs like registries, and data-warehouses. The framework could be used as a foundation for policy-makers, and vendors to: 1) attain the goals of semantic interoperability, 2) ensure high-quality data exchange, and 3) increase data reusability. © 2022","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85130565703"
"Chianese R.; Beneduce L.; Gargiulo F.; Marrone S.; Verde L.","Chianese, Raffaele (35195569400); Beneduce, Leopoldo (59202257000); Gargiulo, Francesco (55984041900); Marrone, Stefano (57203296376); Verde, Laura (56902382400)","35195569400; 59202257000; 55984041900; 57203296376; 56902382400","Dealing with clinical outcome and fair cost: the FIDCARE platform","2024","ACM International Conference Proceeding Series","","","","425","428","3","0","10.1145/3661167.3661191","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85197447350&doi=10.1145%2f3661167.3661191&partnerID=40&md5=f24286efcbd89b2e372ba4c671c6cace","Modern public and private healthcare structures are facing the problem of improving the quality of patient health without increasing costs. Smart healthcare is currently transforming the traditional medical practices, resulting in a more efficient, convenient and personalized healthcare. In this paper, a solution for a fair usage of economic resources is proposed: the FIDCARE approach. Based on a flexible software architecture, with the capability to be extended by external ""plugins"", the FIDCARE platform conjugates both the needs. IoT technologies and AI algorithms are at the basis of the entire platform to enable a proper level of flexibility. The paper presents the approach with the case study of oncological therapy. © 2024 ACM.","Conference paper","Final","","Scopus","2-s2.0-85197447350"
"","","","1st EAI International Conference on Safe, Secure, Ethical, Responsible Technologies and Emerging Applications, SAFER-TEA 2023","2024","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","566 LNICST","","","","","408","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85192147611&partnerID=40&md5=7624b2d13641c6874a7220730c8f7759","The proceedings contain 24 papers. The special focus in this conference is on Safe, Secure, Ethical, Responsible Technologies and Emerging Applications. The topics include: A Gamification Architecture to Enhance Phishing Awareness; Improvement of Cloud-Assisted Identity-Based Anonymous Authentication and Key Agreement Protocol for Secure WBAN; DIDOR: A Decentralized Identifier Based Onion Routing Protocol; Feature Analysis and Classification of Collusive Android App-Pairs Using DBSCAN Clustering Algorithm; feature Engineering Considerations in IoT: A Case Study; correlation Clustering Adapted for Cell Site Management of Mobile Networks in Developing Countries; a Lightweight Authenticated Key Agreement Scheme for Resource-Constrained Devices Based on Implicit Certificates and Finite Graphs; machine and Deep Learning Models for the Prediction of Performance and Speed Regulation Parameters of a Turbojet Engine Using Electric Power Transfer; Advancing High-Resolution Weather Prediction Through Machine Learning and GNSS Techniques; french-Fulfulde Textless and Cascading Speech Translation: Towards a Dual Architecture; Assessment of Thermal Comfort Using PMV, aPMV, ePMV and TSV Indices in a Naturally Ventilated Building; classification Analysis of Some Cancer Types Using Machine Learning; development of an Intelligent Safety Monitoring Device for Train-Track System in Cameroon; towards a Flexible Urbanization Based Approach for Integration and Interoperability in Heterogeneous Health Information Systems: Case of Cameroon; food Recommender System in Sub-Saharan Africa: Challenges and Prospects; detection and Recognition of Cough Sounds Using Deep Learning for Medical Monitoring; DeepAF: A Multi-task Deep Learning Model for Arrhythmias Detection at Resource-Constrained Mobile Device; wine Feature Importance and Quality Prediction: A Comparative Study of Machine Learning Algorithms with Unbalanced Data; covid-19 Data Preprocessing Approach in Machine Learning for Prediction; evaluation of Machine Learning and Deeplearning Algorithms Applied to Earth Observation Data for Change Detection in Polarimetric Radar Images.","Conference review","Final","","Scopus","2-s2.0-85192147611"
